URL,Type,Region,Service,Initial Status,Retry Status,Final Status,Redirect URL,Error Type,Remarks
"https://www.moduclean.co.kr/seoul/gwanak-gu/awning-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/interior-post-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/hood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/completion-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/hoarder-house-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/special-cleaning","district","seoul","special-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/floor-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/move-in-cleaning","district","seoul","move-in-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/moving-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/office-cleaning","district","seoul","office-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/store-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/factory-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/building-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/flood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/warehouse-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/gwanak-gu/hospital-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/exterior-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/window-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/fire-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/awning-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/signboard-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/floor-wax-coating","district","seoul","","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/completion-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/interior-post-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/hood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/special-cleaning","district","seoul","special-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/hoarder-house-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/floor-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/moving-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/office-cleaning","district","seoul","office-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/move-in-cleaning","district","seoul","move-in-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/store-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/factory-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/flood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/building-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/exterior-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/hospital-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/eunpyeong-gu/warehouse-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/fire-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/window-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/floor-wax-coating","district","seoul","","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/signboard-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/awning-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/interior-post-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/completion-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/hoarder-house-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/hood-cleaning","district","seoul","cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/special-cleaning","district","seoul","special-cleaning","200","","200","","",""
"https://www.moduclean.co.kr/seoul/seodaemun-gu/floor-cleaning","district","seoul","cleaning","200","","200","","",""
